qr_or_mac,voltage_v,voltage_mv,category,status,percentage_estimate,pass_fail,rssi,comment,timestamp
C6:A6:31:57:61:47,2.9,2900,GOOD,GOOD,70.0,True,-56,RSSI -56 | Battery 2.9V,2025-09-19T22:22:05.639186Z
D7:90:3B:FC:1F:10,2.9,2900,GOOD,GOOD,70.0,True,-53,RSSI -53 | Battery 2.9V,2025-09-19T22:22:05.645224Z
D3:E1:8E:CA:64:DE,2.9,2900,GOOD,GOOD,70.0,True,-42,RSSI -42 | Battery 2.9V,2025-09-19T22:22:05.648124Z
F6:71:BC:F4:1E:26,2.9,2900,GOOD,GOOD,70.0,True,-54,RSSI -54 | Battery 2.9V,2025-09-19T22:22:05.652347Z
E3:E1:49:7B:8B:D4,2.9,2900,GOOD,GOOD,70.0,True,-53,RSSI -53 | Battery 2.9V,2025-09-19T22:22:05.654229Z
FE:F9:DC:CF:39:FC,2.9,2900,GOOD,GOOD,70.0,True,-51,RSSI -51 | Battery 2.9V,2025-09-19T22:22:05.656310Z
FB:71:7E:03:8E:4F,2.9,2900,GOOD,GOOD,70.0,True,-47,RSSI -47 | Battery 2.9V,2025-09-19T22:22:05.657317Z
E1:76:B3:1F:FA:6A,2.9,2900,GOOD,GOOD,70.0,True,-46,RSSI -46 | Battery 2.9V,2025-09-19T22:22:05.659310Z
C3:A6:B1:EC:E7:D0,2.9,2900,GOOD,GOOD,70.0,True,-56,RSSI -56 | Battery 2.9V,2025-09-19T22:22:05.663338Z
D3:E4:D8:88:EC:F2,2.9,2900,GOOD,GOOD,70.0,True,-52,RSSI -52 | Battery 2.9V,2025-09-19T22:22:05.664320Z
DC:4F:66:C0:AF:C3,2.9,2900,GOOD,GOOD,70.0,True,-52,RSSI -52 | Battery 2.9V,2025-09-19T22:22:05.670852Z
E7:9E:FE:E8:F1:F4,2.9,2900,GOOD,GOOD,70.0,True,-52,RSSI -52 | Battery 2.9V,2025-09-19T22:22:05.672944Z
D9:45:E9:C6:AD:31,2.9,2900,GOOD,GOOD,70.0,True,-45,RSSI -45 | Battery 2.9V,2025-09-19T22:22:05.724416Z
C4:D2:FA:13:EC:CD,2.9,2900,GOOD,GOOD,70.0,True,-56,RSSI -56 | Battery 2.9V,2025-09-19T22:22:05.727682Z
F5:23:4A:4E:0F:5E,2.9,2900,GOOD,GOOD,70.0,True,-53,RSSI -53 | Battery 2.9V,2025-09-19T22:22:05.730674Z
F7:D6:6C:9E:89:3B,2.9,2900,GOOD,GOOD,70.0,True,-49,RSSI -49 | Battery 2.9V,2025-09-19T22:22:05.735777Z
C5:08:CA:D6:84:83,2.9,2900,GOOD,GOOD,70.0,True,-48,RSSI -48 | Battery 2.9V,2025-09-19T22:22:05.752117Z
CA:82:27:CF:8A:4C,2.9,2900,GOOD,GOOD,70.0,True,-49,RSSI -49 | Battery 2.9V,2025-09-19T22:22:05.760694Z
F0:A4:89:68:B3:7E,2.9,2900,GOOD,GOOD,70.0,True,-47,RSSI -47 | Battery 2.9V,2025-09-19T22:22:05.762694Z
F1:F4:BD:22:86:8C,2.9,2900,GOOD,GOOD,70.0,True,-54,RSSI -54 | Battery 2.9V,2025-09-19T22:22:05.768280Z
39:21:17:8C:1C:29,2.4,2400,DEAD,FAIL,0,False,-53,RSSI -53 | Battery 2.4V,2025-09-19T22:22:05.770281Z
D2:48:53:52:0D:B2,2.9,2900,GOOD,GOOD,70.0,True,-52,RSSI -52 | Battery 2.9V,2025-09-19T22:22:05.772277Z
FB:3B:F4:2E:4B:C5,2.9,2900,GOOD,GOOD,70.0,True,-51,RSSI -51 | Battery 2.9V,2025-09-19T22:22:05.773279Z
FD:D4:2C:22:DF:59,2.9,2900,GOOD,GOOD,70.0,True,-53,RSSI -53 | Battery 2.9V,2025-09-19T22:22:05.825079Z
D1:CB:2A:85:AE:7B,2.9,2900,GOOD,GOOD,70.0,True,-51,RSSI -51 | Battery 2.9V,2025-09-19T22:22:05.829912Z
C0:C4:C5:13:08:24,2.9,2900,GOOD,GOOD,70.0,True,-46,RSSI -46 | Battery 2.9V,2025-09-19T22:22:05.832981Z
FB:1D:4F:79:31:26,2.9,2900,GOOD,GOOD,70.0,True,-45,RSSI -45 | Battery 2.9V,2025-09-19T22:22:05.834979Z
E1:97:7C:C7:54:5E,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-19T22:22:05.837037Z
DC:F8:89:2E:A3:56,2.9,2900,GOOD,GOOD,70.0,True,-57,RSSI -57 | Battery 2.9V,2025-09-19T22:22:05.843977Z
D1:24:13:91:C0:DD,2.9,2900,GOOD,GOOD,70.0,True,-53,RSSI -53 | Battery 2.9V,2025-09-19T22:22:05.847487Z
F6:8D:40:19:1E:59,2.9,2900,GOOD,GOOD,70.0,True,-56,RSSI -56 | Battery 2.9V,2025-09-19T22:22:05.849242Z
D5:59:C3:20:19:ED,2.9,2900,GOOD,GOOD,70.0,True,-34,RSSI -34 | Battery 2.9V,2025-09-19T22:22:05.852457Z
E2:37:86:F7:C9:0B,2.9,2900,GOOD,GOOD,70.0,True,-45,RSSI -45 | Battery 2.9V,2025-09-19T22:22:05.857456Z
C7:DC:46:DD:74:02,2.9,2900,GOOD,GOOD,70.0,True,-47,RSSI -47 | Battery 2.9V,2025-09-19T22:22:05.869435Z
C9:B7:52:66:E2:44,2.9,2900,GOOD,GOOD,70.0,True,-61,RSSI -61 | Battery 2.9V,2025-09-19T22:22:05.871468Z
E6:4F:55:BF:79:46,2.9,2900,GOOD,GOOD,70.0,True,-44,RSSI -44 | Battery 2.9V,2025-09-19T22:22:05.928014Z
DA:42:66:ED:63:79,2.9,2900,GOOD,GOOD,70.0,True,-47,RSSI -47 | Battery 2.9V,2025-09-19T22:22:05.941097Z
D0:E2:25:A8:2D:01,3.0,3000,NEW,GOOD,0,True,-55,RSSI -55 | Battery 3.0V,2025-09-19T22:22:05.948083Z
F3:58:E1:22:C8:E5,2.9,2900,GOOD,GOOD,70.0,True,-57,RSSI -57 | Battery 2.9V,2025-09-19T22:22:05.950129Z
C9:F6:B5:CA:1F:12,2.9,2900,GOOD,GOOD,70.0,True,-60,RSSI -60 | Battery 2.9V,2025-09-19T22:22:05.951135Z
F4:B0:B4:F3:4A:C8,2.9,2900,GOOD,GOOD,70.0,True,-54,RSSI -54 | Battery 2.9V,2025-09-19T22:22:05.958018Z
C7:48:7A:C4:6D:63,2.9,2900,GOOD,GOOD,70.0,True,-48,RSSI -48 | Battery 2.9V,2025-09-19T22:22:05.960150Z
F7:1B:D0:98:DF:DA,3.0,3000,NEW,GOOD,0,True,-52,RSSI -52 | Battery 3.0V,2025-09-19T22:22:05.963289Z
C1:CB:2C:12:38:D2,2.9,2900,GOOD,GOOD,70.0,True,-66,RSSI -66 | Battery 2.9V,2025-09-19T22:22:05.970063Z
F6:6C:58:E0:FD:48,2.9,2900,GOOD,GOOD,70.0,True,-53,RSSI -53 | Battery 2.9V,2025-09-19T22:22:05.973163Z
C5:56:CE:6D:08:76,2.9,2900,GOOD,GOOD,70.0,True,-57,RSSI -57 | Battery 2.9V,2025-09-19T22:22:06.025079Z
E8:12:FD:C9:77:4E,2.9,2900,GOOD,GOOD,70.0,True,-53,RSSI -53 | Battery 2.9V,2025-09-19T22:22:06.029384Z
D2:CB:38:59:A9:C6,2.9,2900,GOOD,GOOD,70.0,True,-45,RSSI -45 | Battery 2.9V,2025-09-19T22:22:06.040448Z
C3:6C:0B:85:31:9C,2.9,2900,GOOD,GOOD,70.0,True,-44,RSSI -44 | Battery 2.9V,2025-09-19T22:22:06.044380Z
D8:64:F8:51:73:05,2.9,2900,GOOD,GOOD,70.0,True,-55,RSSI -55 | Battery 2.9V,2025-09-19T22:22:06.056480Z
C2:47:0C:44:3E:43,2.9,2900,GOOD,GOOD,70.0,True,-42,RSSI -42 | Battery 2.9V,2025-09-19T22:22:06.058234Z
FB:44:FB:74:14:70,2.9,2900,GOOD,GOOD,70.0,True,-47,RSSI -47 | Battery 2.9V,2025-09-19T22:22:06.060471Z
C2:EA:22:59:EC:14,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-19T22:22:06.062645Z
CB:EB:5A:F6:AC:82,2.9,2900,GOOD,GOOD,70.0,True,-54,RSSI -54 | Battery 2.9V,2025-09-19T22:22:06.064657Z
D0:C2:68:1C:E1:0D,2.9,2900,GOOD,GOOD,70.0,True,-46,RSSI -46 | Battery 2.9V,2025-09-19T22:22:06.144978Z
C5:E6:58:67:6D:8C,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-19T22:22:06.152670Z
F4:47:3C:F9:98:FD,2.9,2900,GOOD,GOOD,70.0,True,-54,RSSI -54 | Battery 2.9V,2025-09-19T22:22:06.154698Z
EA:0D:E7:E6:D0:EB,3.0,3000,NEW,GOOD,0,True,-49,RSSI -49 | Battery 3.0V,2025-09-19T22:22:06.156690Z
ED:6F:54:0C:1B:4D,2.9,2900,GOOD,GOOD,70.0,True,-47,RSSI -47 | Battery 2.9V,2025-09-19T22:22:06.162689Z
D0:43:E3:9F:87:B9,2.9,2900,GOOD,GOOD,70.0,True,-48,RSSI -48 | Battery 2.9V,2025-09-19T22:22:06.169086Z
